"";"Fechas";"DriveIDs";"idTemp$name"
"194";2004-01-01;"1st72_OSGtJDpM1oNf3PIsQTmj2hSEZIO";"Temperaturas2004-01-01.tif"
"195";2003-12-01;"17XKYwC1FPuKa1mSzv-65jBcXeLUa3Eck";"Temperaturas2003-12-01.tif"
"196";2003-11-01;"1ctGAEXGJ7TBZntCRqkcAa2UB5gbiL92s";"Temperaturas2003-11-01.tif"
"197";2003-10-01;"1KQkDAw-Pipy_G3Useka0wuED63eZekTR";"Temperaturas2003-10-01.tif"
"198";2003-09-01;"1AkBghfDNZ8WyddkODDc4xbMqXAyRnjiw";"Temperaturas2003-09-01.tif"
"199";2003-08-01;"1NIMHQuV9d764VBHBX5LZ2VFREE5_GRmc";"Temperaturas2003-08-01.tif"
"200";2003-07-01;"1upS5tO3kTOLqbISCLc0vhT88TaHlFimd";"Temperaturas2003-07-01.tif"
"201";2003-06-01;"122nJ0aBg1UqDkg9awOFQTtU9sD6FyjyD";"Temperaturas2003-06-01.tif"
"202";2003-05-01;"1e1Bzj73jiVc5JFf6mh4cSYM_17V8fkTR";"Temperaturas2003-05-01.tif"
"203";2003-04-01;"1YqI7ikYStCiGbNcT7qE1-HURmo2c4anC";"Temperaturas2003-04-01.tif"
"204";2003-03-01;"1IQKR2LtKZTF3AUKvBZjjJmoQkhWBYKUZ";"Temperaturas2003-03-01.tif"
"205";2003-02-01;"1UOmTDiWrbAoaLEweY295r6IrOL1cRS-L";"Temperaturas2003-02-01.tif"
"206";2003-01-01;"14fyKWin-k8EF57ZR4DYh5lLpbtLsp7EY";"Temperaturas2003-01-01.tif"
"207";2002-12-01;"1WyVeoDRbF3wL0bb04V7C9U81CDERNxTY";"Temperaturas2002-12-01.tif"
"208";2002-11-01;"1F-xKMGk5UcUAiCGiQ4pwLcwnhSGXzciu";"Temperaturas2002-11-01.tif"
"209";2002-10-01;"1GIBGEsfqYnJCJm-lfdwTF7CZcTUsrL5R";"Temperaturas2002-10-01.tif"
"210";2002-09-01;"15GPXoaRroOQgFhUG5jMME9ti8K4OCbxj";"Temperaturas2002-09-01.tif"
"211";2002-08-01;"1oEtxEfxHOznwjKjyGi5EyEEptFtRBqHw";"Temperaturas2002-08-01.tif"
"212";2002-07-01;"1UHw89iqsQy2lD5TtTndXfKcR9HJusqxA";"Temperaturas2002-07-01.tif"
"213";2002-06-01;"1Px8VxBbInM0I2Ph4RgzSdhk2W1PpdQgH";"Temperaturas2002-06-01.tif"
"214";2002-05-01;"16KWdK7J18zfluRxbtAH-EdX1pL0y0bm-";"Temperaturas2002-05-01.tif"
"215";2002-04-01;"1LQZnxNbt4jZEdRineKCh3H3RUP0Hx7mz";"Temperaturas2002-04-01.tif"
"216";2002-03-01;"10IuUmRHu8_kIqr_xoVQquVG8mXk743hu";"Temperaturas2002-03-01.tif"
"217";2002-02-01;"1qZsoAv5M1B3NTOhOTyLZzP40V6CRfpTY";"Temperaturas2002-02-01.tif"
"218";2002-01-01;"1F3As_pr4D-Xn20NVO1r1RJKs_sWpwxEw";"Temperaturas2002-01-01.tif"
"219";2001-12-01;"14daB2EXKn4AmCM_yXu3qek0EwHXlXQfe";"Temperaturas2001-12-01.tif"
"220";2001-11-01;"1BGgK3jGjAjwxzAvp8hp490KsVFWo9gWe";"Temperaturas2001-11-01.tif"
"221";2001-10-01;"1o86qBTTOk5_mq5msGYQsR-aApdlQxt6S";"Temperaturas2001-10-01.tif"
"222";2001-09-01;"1c4Gd1t7l1CSaN8LSsVcii5hXTFlgBgAj";"Temperaturas2001-09-01.tif"
"223";2001-08-01;"1_3cjIar867KQEy3Tb0NiQpYsalDHLiVM";"Temperaturas2001-08-01.tif"
"224";2001-07-01;"1HkAabhBzbk7kK5-0F4SCrab-wRX9dzBK";"Temperaturas2001-07-01.tif"
